iso_code,country,year,co2_per_capita,co2_growth_rate,coal_share,renewables_share,anomaly_score,is_anomaly
BTN,Bhutan,2023,2.072,5.161290322580636,51.59509202453988,19.2638036809816,-0.013599197173745692,1
BTN,Bhutan,2024,2.094,1.6564417177914237,51.116475558237774,18.88955944477973,-0.009390324136331896,1
CHN,China,2008,5.617,7.423168689297266,76.46902115796212,8.58524179956126,-0.034875700058418,1
CHN,China,2011,6.999,10.57026627493829,76.78069879759285,8.830330773045361,-0.008397070001921803,1
CHN,China,2023,8.556,3.929376232943693,71.81140763205154,7.16924379533404,-0.01370416157853982,1
CHN,China,2024,8.658,0.9614518030671926,72.30852181501285,6.576788726407116,-0.014512482254698145,1
CMR,Cameroon,1994,0.384,70.27215631542218,0.081967213114754,45.778688524590166,-0.03644395137501033,1
COD,Democratic Republic of Congo,2000,0.034,-22.46475670759436,0.0,51.67155425219942,-0.021983431144999566,1
COD,Democratic Republic of Congo,2001,0.032,-3.4017595307917925,0.0,58.16636308439588,-0.007004182862463626,1
COD,Democratic Republic of Congo,2002,0.032,5.2823315118397,0.2883506343713956,56.805074971164935,-0.02226399417404956,1
COD,Democratic Republic of Congo,2003,0.038,20.87658592848904,0.0954198473282442,56.727099236641216,-0.02305207647114782,1
COD,Democratic Republic of Congo,2004,0.036,-3.244274809160308,0.2958579881656805,50.93688362919132,-0.0046839296919035656,1
COD,Democratic Republic of Congo,2008,0.042,2.363705680518491,1.266294227188082,37.20670391061452,-0.01143279870635594,1
COG,Congo,1994,1.266,191.7241379310345,12.571496770996148,48.78841607565011,-0.07357302828968237,1
COG,Congo,1995,1.173,-4.698581560283688,12.571496770996148,64.43410852713178,-0.0016346603762357192,1
COG,Congo,1996,1.428,25.1782945736434,12.571496770996148,67.32722318553381,-0.03222212946505665,1
COG,Congo,1997,1.673,19.66807034926927,12.571496770996148,60.40157317325605,-0.01062516996258378,1
COG,Congo,1998,1.311,-19.91306147795488,12.571496770996148,90.82450245541484,-0.06637834976744073,1
COG,Congo,1999,1.291,1.2147841819591498,12.571496770996148,90.73033707865169,-0.04604489805908196,1
COG,Congo,2000,1.359,9.397344228804894,12.571496770996148,88.95891690009337,-0.05431275835204363,1
COG,Congo,2001,1.277,-2.474323062558359,12.571496770996148,85.51938726663475,-0.04335207297887633,1
COG,Congo,2002,0.812,-34.89707994255624,12.571496770996148,81.94852941176471,-0.09083974628552904,1
COG,Congo,2003,0.946,19.77941176470588,12.571496770996148,75.13812154696133,-0.039574451464388316,1
COG,Congo,2004,0.995,8.931860036832418,12.571496770996148,75.82417582417582,-0.03918723998683604,1
COG,Congo,2005,1.177,22.62609185686111,12.571496770996148,78.01011029411765,-0.05593825106358863,1
COG,Congo,2006,1.247,9.972426470588225,12.571496770996148,77.26702883409945,-0.03369095308516068,1
COG,Congo,2007,1.07,-11.011282908483055,12.571496770996148,72.48180324019724,-0.028337046149273903,1
COG,Congo,2008,1.038,0.2582765907489737,12.571496770996148,69.78922716627635,-0.0497494268694888,1
COG,Congo,2009,1.155,15.784543325526943,12.571496770996148,65.97896440129449,-0.014600443650555128,1
COG,Congo,2019,1.299,11.443850267379684,12.571496770996148,47.05237181244858,-0.008527935227527594,1
COG,Congo,2020,1.335,5.250891143405534,12.571496770996148,46.82818809430767,-0.006885526154549293,1
COG,Congo,2023,1.338,-5.201649862511459,12.571496770996148,42.156151800821846,-0.020126271172925203,1
COG,Congo,2024,1.396,6.8407058254774,12.571496770996148,45.10180995475113,-0.017859532116984655,1
CUW,Curacao,1993,31.523,54.35816164817751,0.0,0.0,-0.04155698942701391,1
CUW,Curacao,1999,12.704,648.4,0.0,0.0,-0.021730724711448324,1
CUW,Curacao,2000,34.11,165.3126670229824,0.0,0.0,-0.0866339805157017,1
CUW,Curacao,2002,33.401,-3.580613254203757,0.0,0.0,-0.013924542327955924,1
CUW,Curacao,2004,34.157,4.921058027475911,0.0,0.0,-0.009710054980279548,1
CUW,Curacao,2005,33.514,-0.8989642368575357,0.0,0.0,-0.0010334911186539175,1
CUW,Curacao,2006,34.655,4.220074935910079,0.0,0.0,-0.007328052450782274,1
CUW,Curacao,2007,38.72,12.58278145695364,0.0,0.0,-0.034024553702481364,1
CUW,Curacao,2008,36.975,-3.81512605042017,0.0,0.0,-0.051275481360182784,1
CUW,Curacao,2009,37.58,2.323955967150093,0.0,0.0,-0.021490398110066367,1
CUW,Curacao,2011,32.452,27.56569162121965,0.0,0.0,-0.04129388592751859,1
CUW,Curacao,2012,39.076,22.1725612125923,12.571496770996148,0.0,-0.041825817904742935,1
CUW,Curacao,2014,41.182,14.581928523263633,12.571496770996148,0.0,-0.015509065623262708,1
CUW,Curacao,2015,44.002,7.871119611593347,12.571496770996148,0.0,-0.03051833188031683,1
