year,prophet_co2,prophet_lower,prophet_upper,lstm_co2,lstm_lower,lstm_upper,arima_co2,arima_lower,arima_upper,forecast_co2,forecast_co2_lower,forecast_co2_upper,model_used,iso_code,country,forecast_temp_anomaly,forecast_temp_lower,forecast_temp_upper,last_historical_year,last_co2,last_co2_per_capita
2029,2.731389031150869,2.6338977586554098,2.834076184264046,2.2895050016011993,2.21011062262244,2.3688993805799585,2.0604594997389305,1.5867414922501764,2.5341775072276844,2.453185640910467,2.266161908045859,2.6428073140839334,Prophet+LSTM+ARIMA,RWA,Rwanda,0.48601104881494706,0.3143609013188334,0.6530325345002317,2024,2.034,0.143
2030,2.861555461012385,2.7452753022019536,2.9795573004801565,2.297397357447281,2.2180029784685216,2.37679173642604,2.061458442111629,1.5143400165195182,2.60857686770374,2.52049168039592,2.3057233998479867,2.7361208012725236,Prophet+LSTM+ARIMA,RWA,Rwanda,0.511690773872742,0.35608454141698903,0.6763601279491342,2024,2.034,0.143
2031,2.9917218908739005,2.8704255900219406,3.120989232792122,2.300313091771258,2.220918712792499,2.3797074707500174,2.062075394652136,1.4475240499928943,2.6766267393113776,2.5864580670427992,2.3523234857073185,2.8245781689114096,Prophet+LSTM+ARIMA,RWA,Rwanda,0.5373704989305369,0.38032067456481233,0.6979752691872981,2024,2.034,0.143
2032,3.1218883207354162,2.9739333810844037,3.267110980993136,2.301563204476139,2.2221688254973797,2.380957583454898,2.0624564280807305,1.385589488102946,2.739323368058515,2.6519490685069256,2.3889062689422835,2.913625728374921,Prophet+LSTM+ARIMA,RWA,Rwanda,0.5630502239883317,0.40246216893536096,0.7309589202957162,2024,2.034,0.143
2033,3.2524113709527174,3.0915676242148096,3.42330142664918,2.302212726345104,2.2228183473663448,2.381607105323863,2.062691756512294,1.3278714472946072,2.7975120657299812,2.7174318061907083,2.4334562607726427,3.006430506088051,Prophet+LSTM+ARIMA,RWA,Rwanda,0.5888003044572439,0.4337913702025986,0.7497248864369677,2024,2.034,0.143
2034,3.3825778008142318,3.184119694559169,3.5813815254997117,2.302693707989121,2.223299329010362,2.3820880869678804,2.0628370967017533,1.273784583745971,2.851889609657536,2.7826716015798345,2.4663308254686678,3.09918518690621,Prophet+LSTM+ARIMA,RWA,Rwanda,0.6144800295150387,0.45013785872180284,0.7791470849533273,2024,2.034,0.143
2025,726.025268244556,680.8280309164788,769.191736570647,677.2980956671763,634.2325160048533,720.3636753294993,691.942553351757,635.1324401103443,748.7526665931698,705.3227963770113,657.7552544870389,751.8749537659908,Prophet+LSTM+ARIMA,SAU,Saudi Arabia,0.3832217931726503,0.2202730947878225,0.5461162636911738,2024,692.133,20.379
2026,737.124537873642,691.7334091416096,779.7246891630484,679.0246697543134,635.9590900919904,722.0902494166364,691.9450222051929,612.1224449102839,771.7675995001019,711.3046919266976,657.8870883213734,763.3268068107088,Prophet+LSTM+ARIMA,SAU,Saudi Arabia,0.4089015182304452,0.24552822391782106,0.565745810368102,2024,692.133,20.379
2027,748.223807502728,698.1070890412925,794.265240000469,678.2151045776336,635.1495249153106,721.2806842399566,691.9449902002333,594.3900339261147,789.4999464743519,716.6519274458308,656.4384342310026,774.8277776788117,Prophet+LSTM+ARIMA,SAU,Saudi Arabia,0.4345812432882401,0.26844936713472756,0.5978818618181819,2024,692.133,20.379
2028,759.323077131814,710.9701421866853,807.9531066409332,678.9825859326902,635.9170062703672,722.0481655950132,691.9449906151293,579.4181882113062,804.4717930189524,722.3934327028619,659.3188697137609,785.6065429739581,Prophet+LSTM+ARIMA,SAU,Saudi Arabia,0.460260968346035,0.2943489758972844,0.6132701831914098,2024,692.133,20.379
