iso_code,country,year,metric,value,z_score,mean,std
NGA,Nigeria,1999,renewables_share,54.53098847214692,3.777832638280749,6.203067637598699,12.792499155426256
ABW,Aruba,2000,co2_per_capita,26.787,3.0139423947193547,5.043859154929577,7.214185939043155
ARE,United Arab Emirates,2000,co2_per_capita,32.138,3.755675425336212,5.043859154929577,7.214185939043155
BHR,Bahrain,2000,co2_per_capita,28.673,3.2753717529221937,5.043859154929577,7.214185939043155
CUW,Curacao,2000,co2_per_capita,34.11,4.029025740487856,5.043859154929577,7.214185939043155
KWT,Kuwait,2000,co2_per_capita,28.127,3.1996875378751364,5.043859154929577,7.214185939043155
QAT,Qatar,2000,co2_per_capita,62.646,7.984565595035164,5.043859154929577,7.214185939043155
AGO,Angola,2000,renewables_share,70.28446389496717,5.05722542945512,6.306458838926064,12.650811388278234
CMR,Cameroon,2000,renewables_share,46.57362676686349,3.1829711701533605,6.306458838926064,12.650811388278234
COD,Democratic Republic of Congo,2000,renewables_share,51.67155425219942,3.5859435431396087,6.306458838926064,12.650811388278234
COG,Congo,2000,renewables_share,88.95891690009337,6.533372091670734,6.306458838926064,12.650811388278234
GAB,Gabon,2000,renewables_share,79.19386422976501,5.761480679284626,6.306458838926064,12.650811388278234
GNQ,Equatorial Guinea,2000,renewables_share,83.95702111893294,6.137990670855703,6.306458838926064,12.650811388278234
NGA,Nigeria,2000,renewables_share,53.654304923010194,3.7426726737824,6.306458838926064,12.650811388278234
ARE,United Arab Emirates,2001,co2_per_capita,27.365,3.018502499551311,5.091394366197184,7.3790250752198165
BHR,Bahrain,2001,co2_per_capita,28.115,3.1201419427507444,5.091394366197184,7.3790250752198165
CUW,Curacao,2001,co2_per_capita,34.922,4.042621529228802,5.091394366197184,7.3790250752198165
KWT,Kuwait,2001,co2_per_capita,29.44,3.299704959069744,5.091394366197184,7.3790250752198165
QAT,Qatar,2001,co2_per_capita,67.727,8.488330774772024,5.091394366197184,7.3790250752198165
AGO,Angola,2001,renewables_share,66.74000502891627,4.837112781429316,6.175761374498361,12.520742515439512
CMR,Cameroon,2001,renewables_share,47.30312837108954,3.28473866033715,6.175761374498361,12.520742515439512
COD,Democratic Republic of Congo,2001,renewables_share,58.16636308439588,4.152357709280192,6.175761374498361,12.520742515439512
COG,Congo,2001,renewables_share,85.51938726663475,6.33697448807821,6.175761374498361,12.520742515439512
GAB,Gabon,2001,renewables_share,76.82098765432099,5.6422553369106465,6.175761374498361,12.520742515439512
GNQ,Equatorial Guinea,2001,renewables_share,84.11517308314461,6.224823456958564,6.175761374498361,12.520742515439512
NGA,Nigeria,2001,renewables_share,51.14051368017722,3.591220908043765,6.175761374498361,12.520742515439512
ABW,Aruba,2002,co2_per_capita,26.66,3.0362124951468132,5.062291079812207,7.113371990501427
BHR,Bahrain,2002,co2_per_capita,26.737,3.04703717858848,5.062291079812207,7.113371990501427
CUW,Curacao,2002,co2_per_capita,33.401,3.9838643273582237,5.062291079812207,7.113371990501427
KWT,Kuwait,2002,co2_per_capita,29.182,3.3907560229375227,5.062291079812207,7.113371990501427
QAT,Qatar,2002,co2_per_capita,63.518,8.217721356094469,5.062291079812207,7.113371990501427
AGO,Angola,2002,renewables_share,61.57960199004975,4.631865123333512,6.308438689875005,11.932809317296481
CMR,Cameroon,2002,renewables_share,44.8701177350028,3.23156752276541,6.308438689875005,11.932809317296481
COD,Democratic Republic of Congo,2002,renewables_share,56.805074971164935,4.231747523870643,6.308438689875005,11.932809317296481
COG,Congo,2002,renewables_share,81.94852941176471,6.338833439016761,6.308438689875005,11.932809317296481
GAB,Gabon,2002,renewables_share,76.976,5.922122731626417,6.308438689875005,11.932809317296481
GNQ,Equatorial Guinea,2002,renewables_share,70.81374321880651,5.405709821863301,6.308438689875005,11.932809317296481
NGA,Nigeria,2002,renewables_share,44.83349275910396,3.2284982559293307,6.308438689875005,11.932809317296481
ABW,Aruba,2003,co2_per_capita,27.741,3.1144175338627793,5.2139107981220665,7.233162848893232
CUW,Curacao,2003,co2_per_capita,32.969,3.837199546271079,5.2139107981220665,7.233162848893232
KWT,Kuwait,2003,co2_per_capita,29.618,3.3739167376291097,5.2139107981220665,7.233162848893232
